DateTime,Entries,UniqueIPs
1642937071,6484,6511
1642937793,6479,6506
1642938511,6481,6508
1642939229,6481,6508
1642939948,6483,6510
1642940672,6481,6508
1642941391,6488,6515
1642942110,6486,6513
1642942828,6482,6509
1642943547,6477,6504
1642944268,6475,6502
1642944990,6471,6498
1642945708,6473,6500
1642946441,6473,6500
1642947153,6475,6502
1642947871,6475,6502
1642948589,6480,6507
1642949309,6480,6507
1642950038,6482,6509
1642950750,6472,6499
1642951473,6469,6496
1642952192,6467,6494
1642952907,6469,6496
1642953630,6469,6496
1642954588,6467,6494
1642955314,6467,6494
1642956029,6463,6490
1642956748,6465,6492
1642957473,6463,6490
1642958191,6463,6490
1642958911,6468,6495
1642959630,6469,6496
1642960348,6463,6489
1642961072,6464,6490
1642961787,6464,6490
1642962511,6463,6489
1642963231,6468,6494
1642964191,6469,6495
1642964909,6471,6497
1642965633,6469,6495
1642966348,6467,6493
1642967070,6467,6493
1642968030,6466,6492
1642968747,6469,6495
1642969473,6463,6489
1642970191,6465,6491
1642970911,6463,6489
1642971875,6449,6475
1642972592,6447,6473
1642973310,6451,6477
1642974032,6447,6473
1642974748,6444,6470
1642975713,6446,6472
1642976429,6447,6473
1642977151,6441,6467
1642977870,6440,6466
1642978589,6441,6467
1642979550,6435,6461
1642980272,6431,6457
1642980993,6433,6459
1642981708,6434,6460
1642982675,6436,6462
1642983390,6436,6462
1642984109,6432,6458
1642985548,6428,6454
1642986272,6431,6457
1642986990,6431,6457
1642987710,6431,6457
1642988434,6427,6453
1642989149,6432,6458
1642989875,6433,6459
1642990587,6435,6461
1642991307,6429,6455
1642992029,6431,6457
1642992749,6432,6458
1642993482,6431,6457
1642994190,6440,6466
1642995150,6438,6464
1642995869,6438,6464
1642996591,6433,6459
1642997307,6432,6458
1642998032,6432,6458
1642998747,6430,6456
1642999468,6430,6456
1643000190,6431,6457
1643000907,6434,6460
1643001634,6428,6454
1643002348,6427,6453
1643003071,6426,6452
1643003792,6428,6454
1643004510,6427,6453
1643005231,6426,6452
1643005951,6423,6449
1643007391,6415,6441
1643008350,6419,6445
1643009314,6418,6444
1643010035,6415,6441
1643010753,6416,6442
1643011474,6415,6441
1643012191,6416,6442
1643012909,6420,6446
1643013632,6423,6449
1643014596,6423,6449
1643015312,6421,6447
1643016274,6428,6454
1643016995,6429,6455
1643017709,6428,6454
1643018443,6430,6456
1643019152,6432,6458
1643019873,6435,6461
1643020594,6436,6462
1643021555,6435,6461
1643022273,6434,6460
1643022993,6433,6459
